title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
N/A,Rs. 80 Lac,8000,N/A,"Urapakkam, Chennai",Chennai South,2,2,Semifurnished,N/A,NO,12.859038,80.086526,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-1000-sq-ft-spid-J81847200
N/A,Rs. 1.1 Crore,4074,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,N/A,NO,0,0,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-300-sq-yard-spid-N81846604
Shriram Park 63,Rs. 1.05 Crore,7581,759,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,1,NO,12.902142,80.093945,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1385-sq-ft-r1-spid-T78689935
Shriram Park 63,Rs. 1.05 Crore,9251,759,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,1,NO,12.902142,80.093945,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1135-sq-ft-r1-spid-G78689131
Antonys Mon Reve,Rs. 55 Lac,5344,N/A,"Urapakkam, Chennai",Chennai South,3,2,Semifurnished,5,NO,12.840951,80.085445,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antonys-mon-reve-urapakkam-chennai-south-1029-sq-ft-r1-spid-V78672467
N/A,Rs. 3 Crore,3500,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,NO,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-906-sq-yard-r4-spid-T57505522
Shriram Park 63,Rs. 1.7 Crore,12592,1350,"Perungalathur, Chennai",Chennai South,3,3,Unfurnished,N/A,NO,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1350-sq-ft-r2-spid-P78234065
Emerald Green Hills,Rs. 60 Lac,6230,900,"Perungalathur, Chennai",Chennai South,2,2,Semifurnished,1,NO,12.891219,80.113131,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-emerald-green-hills-perungalathur-chennai-south-963-sq-ft-spid-I81810038
Bhaskara Apartments,Rs. 20 Lac,5000,400,"Urapakkam, Chennai",Chennai South,2,1,Unfurnished,N/A,NO,12.864125,80.072067,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhaskara-apartments-urapakkam-chennai-south-400-sq-ft-r2-spid-I75314195
Jansi Subam,Rs. 45 Lac,6320,712,"Urapakkam, Chennai",Chennai South,2,2,N/A,2,NO,10.975642,79.3104,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jansi-subam-urapakkam-chennai-south-712-sq-ft-r1-spid-C78602675
